n,Search,Insert,Delete,Min,Max,Predecessor,Successor
1000,0.000002,0.000001,0.000003,0.000000,0.000000,0.000001,0.000000
5000,0.000001,0.000000,0.000010,0.000000,0.000001,0.000000,0.000000
10000,0.000000,0.000001,0.000017,0.000000,0.000001,0.000000,0.000001
20000,0.000001,0.000001,0.000033,0.000000,0.000001,0.000000,0.000001
50000,0.000003,0.000000,0.000083,0.000001,0.000000,0.000001,0.000000
100000,0.000002,0.000000,0.000196,0.000000,0.000000,0.000001,0.000000
