n,Search,Insert,Delete,Min,Max,Predecessor,Successor
1000,0.000007,0.000002,0.000001,0.000003,0.000003,0.000004,0.000004
5000,0.000009,0.000000,0.000007,0.000016,0.000015,0.000017,0.000015
10000,0.000016,0.000000,0.000014,0.000030,0.000030,0.000034,0.000030
20000,0.000043,0.000000,0.000030,0.000057,0.000062,0.000068,0.000062
50000,0.000073,0.000000,0.000084,0.000157,0.000153,0.000174,0.000159
100000,0.000146,0.000000,0.000145,0.000291,0.000321,0.000336,0.000312
